review	sentiment
	 b'george miller unleash feverish ferocious film intense wild ride acrobatic mad max fury road thrill treat audience astonishing action sequence but action not dull emotional impact mainly due charlize theron fierce performance mad max fury road ride worth take wall-to-wall pumped adrenalized fun ridiculously	2
	 b'george miller mad max fury road one lush vivid movie see long time cinematography film absolute marvel- showcasing sprawl outback desert hue orange red daytime contrast beautiful midnight blue night come together give movie very lively atmosphere score alleviate sense rush smartly use diegetically well non-diegetically action scene shoot brilliantly minimal special effect further case masterpiece finally acting especially charlize theron imperator furiosa top-notch character leave need characterisation tom hardy max man little word but performance strong movie not need dialogue order flourish movie definitely not hyped up- see see rat 5/5 /5 5  '	2
	 b'apparently take old veteran like george miller show new generation young filmmaker action exhilarate give high-octane adrenaline-fueled roller coaster movie technically flawless visually astonish look	2
	 b'glorious symphonic ballet wanton destruction whose visual poetry dazzle amazes whereas current popular political correctness deem life precious weekend jaunt local park baby stroller yell differ remind one exactly planet one dwells stand ovation george miller whose charm eloquence well hidden truth modern society jaw-droppingly stunning best apocalyptic vision see time	2
	 b'witness 'witness witness	1
	 b'year release thunderdome mad max finally back lone wolf single warrior loner lone soldier outcast outsider man name errr name max hype stratospheric one go expect truly mind blow thing great action movie ever make let see brutally honest every aspect bottom line virtually base around one sequence mad max make entire movie know sequence one bloody great gas tanker cover gun turret spike sequence epic many level truly award win vision distopian science fiction goody get kill awesome tale max capture war boy lead immortan joe standard gang barbaric lunatic time not kitted gear time paint tribal sort way long story short max get reluctantly help charlize theron character furiosa help nicholas hoult ill war boy character nux save damsel distress joe whilst try reach fabled lush green land course equal whole load vehicle chase across outback basically never stop first sequence see max classic gorgeous black pursuit special famous 1973 ford falcon get trash wait hear hand say not like one bit want see fuck car action damn miller not quite sure max super fast special manages get wipe collection clown car chase but never mind bloody happen not ugh one first thing see real story kick immortan joe citadel appear build fecking massive cliff hell manage like sprawl catacomb rock look would not think anyone time kill build ridiculous killer automobile actually one aspect not sit well whole idea felt way grand top mad max movie look like something lord band trilogy car instead orcs really want picky would ask everyone muscular dead post-apocalyptic world meh not question start see strange freakish array character inhabit new earth get say love saw part miller always good create bizarre character franchise nail bad guy big ripple baldy cover white paint reason war boy not much background give but look intimidate sure citadel dweller bad guy come various shape size creepy look corpus giant physically disabled child joe exceptional intelligence real person real disability rictus erectus nathan jones huge muscular mammoth man simple another son joe bullet farmer ugly age bloke suit bullet farmer hence name people eater big fat bald guy everyone bald distopian future guess eats people hence name reason fat also look lose nose wear kind metal scale doof warrior crazy blind bloke rid war rig doof wagon battle strap huge speaker play fire spout guitar guy seem become new boba fett movie world but not actually anything fact fail see point drummer simply look cool admittedly look cool certainly unique mother face mask yes but basically pointless lastly immortan joe easily effective look character see year mask appear kind breathe apparatus attach kind roar around neck mask slightly reminiscent old wwii pilot oxygen mask but terrify line big teeth like skeleton not sure end though mask like attach face skull also seem wear kind transparent body armour medal whatnot attach obviously suffer kind affliction disease visually guy look fuck amazing makeup really top pale ghostly complexion silver balding widow peak hair line selection character give very dune-esque 1984 vibe opinion action virtually constant trademark movie franchise non-stop main bulk action centre around max try escape tanker barrage gunfire explosion yeah see mad max but rage maximum overdrive insane vehicle tear flip metal mechanical shrapnel shatter desert body fly everywhere war boy leap around pole vault type thing cast explosive gunfire stabbings fisticuffs happen various extreme vehicle creation look completely real stunt real highly impressive show great achievement eruptive action practical effect top location work scenery shot panorama crisp bold colour palette really look nothing short gorgeous almost look good type movie give faith movie really not say action save completely view amongst grade action wonder max joe others manage survive horrific wing bender get good guy battle way away citadel way come back wut canyon sequence stick very daft cheesy notion biker gang hidden live around canyon wall ride motorcycle bit risky not also get matching costume good guy come back canyon different way not get block seem nut happen purely joe want girl back unleash entire armada risk everything as not find girl citadel end citadel bad guy let max city take huh kill leader great action flick ever hmmm not sure certainly but still find prefer gritty cult classic mad max gibson think hardy reasonable job but mad max ask one thing hat actually deliberate lack dialog max work well old film mm2 simply less explain mm2 like bloody videogame straight forward thing could use background information plus amount time max get situation mainly start really want speak say something explain situation furiosa might not try kill ugh find actually frustrate not need like still fact goody go back towards end really make groan frankly like miller not know end make back run gauntlet easy alternative not lie say not like but not lie say think stunning movie action monumental first but initial hardcore automobile carnage sequence thing felt little tamer initial visual shock awe hit eyeball make swell start ease awe-inspiring visuals round great character visually least good flick yes yes very engaging solid action movie buts let not get carry away really one trick pony honest big gas tanker goody fight horde baddie rinse wash repeat credit real difference furiosa story degree nux unfortunately max along ride year old	2
	 b'damn never know could like action movie much make want watch original movie world	2
	 b'fury road rip conventional action movie norm provide visceral experience miller choice use practical effect pay tenfold stuntmen pyrotechnic deserve much recognition perfect cast mad max franchise back far wild ride	2
	 b'far best film summer feast action drama say great job capture essence original film lack hardcore sensory overload punk rock feeling first two film not necessarily bad thing	2
	 b'apocalyptic film usually hit miss subject many forgettable cliched point one big joke kind like film within film mackenzie brother strange brew film get really right others get really really wrong disastrous silly result one think modern apocalyptic film template genre cinema craft george miller major debut mad max 1979 less apocalyptic exploitation car chase flick send hell back make film achievement film making push envelope end decade would sequel film mad max road warrior state would define miller vision world beyond end people live event road warrior one rare film exceed predecessor story simple present way unforgettable burn psyche skip mad max beyond thunderdome place moment but really film miller care very little leave world max thirty year mad max fury road return supercharge film road warrior happen max tom hardy run afoul mutant clan use slave labor water control little piece broken world lead immortan joe play hugh keayes-byrne play toe cutter original film chase ensue furiosa charlize theron awesome performance steal good sacred enraged leader simple story ever one but go beyond fury road open close action very little time catch breath film call roller coaster ride age old cliche slap poster fury road like go hell without look back funny film set fictional version world draw many parallel life really stand fury road role woman film title mad max strong character film furiosa warrior not give lead ironic cargo promised land may may not exist distant memory wishful thinking moment max feel like side character furiosa movie amazing thing see film woman neither pawn gimmick but entire piece film center everything fury road revolve around sketchy hear another mad max film way many return last decade flounder indulgence sequel reboots 50/50 split arena fury road probably best bunch probably one best film 2015 far credit credit masterpiece really cut blockbuster year almost stagnant world super hero movie fury road ironically breath fresh air cinematic universe tend regurgitate last year product dare say film miller masterpiece possibly even surpass road warrior not know but really really want	2
	 b'possibly one great action movie ever make mind-blowing visual feast eye spike spectacular action sequence fight chase tom hardy man word but deliver none less give strong performance showing worthy replacement mel gibson also provide plenty strong female character well charlize theron pure power fast furious way expendables imagine pure mad-man brilliance fine artist fine form director george miller rock film gorgeous explosive vision action movie masterpiece blow away	2
	 b'george miller long-awaited sequel grandiose scale action-sequences overall marvelous say least mad max fury road exhilarating-overdose monumental thrill sound film post-apocalyptic feel strong performance impressive especially charlize theron also enough concise story make one miller exceptional work one best summer blockbuster let alone overall film year 5/5 /5 5  '	2
	 b'action pack thrill ride leave bum tense thoroughly enjoyable havent see original but make	2
	 b'allow begin confession see mad max fury road know minute film appetite would not quench need see less hour later week later saw third time theater reason obvious one regard highly enjoyable pulse-pounding amazing spectacle first-class stuntwork mad genius rarely accomplish large splendid scale destruction reason write standpoint need see movie else review fury road go consist nothing but unending stream positive adjective vomit upon page excitement best reader want good also want see mad max fury road honestly would not mind slight see post-apocalyptic future immortan joe hugh keays-byrne age warlord fiefdom control water supply army gearhead warrior enforce rule trusted driver imperator furiosa charlize theron lead train supply go rogue drive desert furiosa take immortan joe property namely five wife enraged immortan joe gather posse death vehicle rider head recover property max tom hardy drifter thrust middle conflict strap car drive desert part immortan joe rapid response force thing exhilarating realm motion picture well-executed well-developed action sequence mad max fury road hot awe-inspiring masterpiece brilliant carnage director george miller achieve onscreen visionary level execution rarely see large scale many move part enjoy curious something extraordinary could escape risk-averse studio system try best restrain sheer hyperbole but instant classic world action cinema definite top five all-time action film keep track would say last year raid sequel would also qualify status movie provide case joy not let end credit show theater action sequence epic scale dozen different vehicle hot pursuit yet miller brilliantly point audience every moment symphony demolition many different part action but audience know everything happen sheer sense momentum pacing overwhelming giddy action sequence develop organically new consequence throw character different dire direction also startling amount variety action sequence fury road describe two-hour chase film accurate degree but break sequence small moment catch breath learn character hostile world sequence different enough action not ever feel redundant even third act literally require character backtrack adrenaline not turn get-go miller keep throw new trick new stunt new car astound amaze simply put fury road sham american film release stuntwork another facet raise bar come action movie miller emphasize practical effect whenever possible emphasis pay heightened sense realism onscreen real car smash real bit real stuntmen toss around age cgi saturation easy become numb big screen spectacle hollow come across visually past month avenger sequel know fight scene mostly cgi actor green screen ease enjoyment moment not even get start swamp cgi carnage last hobbit film real physical object physical interaction offer much believability age increase disbelief special effect miller focus practical effect first first bring sense crazy excitement back ensure fury road hold good time also appreciate much think miller team put craft world every detail feel like add overall richness miller vision design car use scrap fact block system operate child run giant wheel contribute make world well realize alive level thought put weird deadly concept movie fantastic main character pass bog land see people dress cloak cover land stilt little pass detail make movie feel complete enjoy one max heroic attribute specify blood type universal donor fact miller find satisfying way bring attribute back payoff also appreciate also enjoy miller expand upon family immortan joe bevy freakish son brother peculiarity enjoy fact miller not afraid embrace weird dystopia symbolize best blind guitar player attach roam wall speaker shoot flame pawn every time movie cut back guitar play pace setter smile smile lot movie grumble max support player movie bear name but would argue co-lead real star rightfully imperator furiosa max not replace furiosa rather inter-dependant relationship vulnerable come trust but without romantic mingling wounded shake mistrust volatile people watch share sense teamwork gradual opening trust upon one another affecting emotionally satisfy relationship but back furiosa really story one personal connection mission max always kind wander warrior find people battle consider post-apocalyptic man name furiosa leader plan implement escape immortan joe deserve attention enjoy fact miller not even explain past know suffered trauma physical likely sexual assume audience not need furiosa past abuse spell specifically see grisly flashback strong woman far helpless one arm story woman liberate sexual slavery spoil patriarchy thematic relevance theron leader fury eye need know believe woman whatever take freedom aspect very clear fury road definitely feminist film but never stoop preach even directly call attention effort ruined world men unchecked power exploit vulnerable woman treat property value breed purpose hero large woman reject role society flee imposition furiosa lead paint convince picture woman capable badass post-apocalypse want furiosa halloween movie portray woman struggle unjust system devalue but fury road not wallow hurt not order get point across also treat wife way lack sexualization immortan joe treat property but miller treat human being even go far give telling personality not say approach three-dimensional character but certainly not eye candy sequence wash hose could see myriad way moment would tawdry cheap titillation men right activist sadly actually thing seem lose caterwauling feminism not zero-sum game one person gain height opportunity not mean take away another furiosa strong not make max weak furiosa compelling lead character not diminish max make even well character recognize value limitation like scene voluntarily hand rifle know good marksman one explicitly point say girl also fascinating commentary danger religious fundamentalism war boys powder-white young men immortan joe armed force promise swift appearance gate paradise die battle witness exclamation sacrifice spray paint face chrome eternal shiny chrome kamikaze kill theme ripe obvious but without require character comment nux nicholas hoult wonderfully derange sincere actually close thing character arc go hopeful martyr main mind begin clumsy yet check antagonist become	2
